date,steel_price_predicted,iron_ore_predicted,scrap_price_predicted,freight_index_predicted,fx_rate_predicted,pct_change_predicted,predicted_mean,volatility_score,lower_ci,upper_ci,supplier_id,supplier_name,material_id,material_name,supplier_factor
2025-01-01,740.9105853451338,108.77855983212179,348.2833779191623,998.709941588962,83.39469053113139,0.0,740.9105853451338,Normal,685.6291289001274,725.6291289001274,SUP003,CoreSteel,MAT101,Steel Rod,1.05
2025-01-02,720.4995464595498,109.43847048731801,348.4392428983617,988.4500094703374,83.0949601959243,-0.8666034143739232,723.6487746133405,Normal,679.514122776262,719.514122776262,SUP005,PrimeSteel,MAT102,Steel Plate,1.03
2025-01-03,716.6821503997965,110.00026214842653,347.77186892181743,978.8893944310021,82.79377181940319,0.44537148540475524,716.6427557032378,Normal,682.6295592154867,722.6295592154867,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-01-04,734.6541102265364,114.59136922423262,348.184580043221,979.2708347292738,83.22158316740311,-0.42112917234232716,736.9538904157515,Normal,679.67058116813,719.67058116813,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-01-05,716.1863477883553,111.9030112907724,348.9738758149544,974.1127222395207,83.13399820394918,0.3534373349840081,715.9557215379124,Normal,682.1434782238778,722.1434782238778,SUP001,AlphaSteel,MAT101,Steel Rod,1.02
2025-01-06,735.7007798328059,108.84986536359911,348.6535880154142,960.2892025075528,83.08667194063909,-0.2102232528078951,736.7944989384806,Normal,680.667409364577,720.667409364577,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-01-07,716.4296517229922,111.30139079881667,347.9198942597966,949.2117723806941,82.72053067431536,0.24470984459052936,715.8412881377745,Normal,682.3820114931295,722.3820114931295,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-01-08,735.8760622858392,112.45099245159862,349.63897240450257,936.3807104903083,82.76030225988387,-0.22034540088903265,736.1762260913393,Normal,680.8343450341325,720.8343450341325,SUP003,CoreSteel,MAT104,Steel Sheet,1.05
2025-01-09,703.4345042952087,113.15170414956107,348.13093832636844,935.7289078225548,82.82313742091452,0.37100910928524744,701.6802698277917,Normal,683.4345042952087,723.4345042952087,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-01-10,685.8662864777367,108.39463812114293,348.32912180784734,933.6118181695348,83.03111509401577,-0.5076445131793728,687.2594242093159,Normal,679.8635576303436,719.8635576303436,SUP002,BetaMetals,MAT103,Steel Bar,0.98
2025-01-11,703.4424722935487,112.86868094112936,348.54043160966387,917.8662109853946,83.59538749103436,0.51137319898793,701.8239683335454,Normal,683.4424722935487,723.4424722935487,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-01-12,714.1939184719213,104.89264763689289,348.01451187905195,904.0098198352217,82.7617740359667,-0.4623485605016353,715.5758149407258,Normal,680.1901161489424,720.1901161489424,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-01-13,722.1997212670414,110.43054975866987,348.3888036914418,908.1921016499082,82.76180655914791,0.13919959133166238,722.664448338458,Normal,681.1647779291663,721.1647779291663,SUP005,PrimeSteel,MAT102,Steel Plate,1.03
2025-01-14,699.6365699698191,106.35247105378863,349.0283497039939,892.5028244486009,83.1022918833718,-0.2179527562494954,701.2237633287374,Normal,679.6365699698191,719.6365699698191,SUP004,DeltaIron,MAT101,Steel Rod,1.0
2025-01-15,687.651717130471,110.56031843953994,348.0561114517447,893.0040947996221,82.87746382334106,0.2928457089667269,687.3184393474513,Normal,681.6854256433377,721.6854256433377,SUP002,BetaMetals,MAT100,Steel Coil,0.98
2025-01-16,714.7412599532761,110.02947552708405,348.1212737287005,883.0227520960635,82.80230252198021,-0.13662820459330316,714.9776911372481,Normal,680.7267254443883,720.7267254443883,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-01-17,701.1421724036258,112.4966375641421,349.63960086406377,873.2199319097854,82.88387291849449,0.059288014022018665,701.1411799761183,Normal,681.1421724036258,721.1421724036258,SUP004,DeltaIron,MAT101,Steel Rod,1.0
2025-01-18,736.6180173210112,110.33221801558643,348.59800029406995,872.6817931195615,82.93568183502603,0.05687811819399258,735.913013462465,Normal,681.5409688771534,721.5409688771534,SUP003,CoreSteel,MAT103,Steel Bar,1.05
2025-01-19,723.2986929977664,110.45354323579004,348.590525230265,856.7976234286182,83.04614710174825,0.09846494046992227,722.1960332104688,Normal,682.2317407745304,722.2317407745304,SUP005,PrimeSteel,MAT104,Steel Sheet,1.03
2025-01-20,715.276883044035,110.8156138910913,347.77296217843696,860.9632878478425,82.60027701252785,-0.13954006861703894,715.197108317021,Normal,681.251846121603,721.251846121603,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-01-21,702.3618086218513,109.23799215192942,348.0128818339314,850.0986873139366,82.67045835386843,0.15828300579701082,701.5629554123558,Normal,682.3618086218513,722.3618086218513,SUP004,DeltaIron,MAT100,Steel Coil,1.0
2025-01-22,714.3048865245376,111.46423661252851,348.8929801733847,838.0180109474543,83.01634584436603,-0.2937090597948777,715.3921791446505,Normal,680.2989083573898,720.2989083573898,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-01-23,737.9484689248759,110.99846539552183,348.1333061532702,835.1237674858418,82.70873221355578,0.3582980432219385,736.7453266198339,Normal,682.8080656427389,722.8080656427389,SUP003,CoreSteel,MAT102,Steel Plate,1.05
2025-01-24,686.412172119459,112.16585244337439,347.57120723991864,828.2494643674451,83.02715877876422,-0.339706096740533,687.5279491066887,Normal,680.4205837953664,720.4205837953664,SUP002,BetaMetals,MAT104,Steel Sheet,0.98
2025-01-25,700.5788622107353,111.88322128778006,348.6146846598557,822.6698688345326,82.81893450680958,0.022597624774434166,701.4216879320307,Normal,680.5788622107353,720.5788622107353,SUP004,DeltaIron,MAT103,Steel Bar,1.0
2025-01-26,713.6328030096531,109.994675887896,348.1428737046144,824.5696230982486,82.94950485903117,-0.13401193080995188,715.0724684649045,Normal,679.6400029506403,719.6400029506403,SUP001,AlphaSteel,MAT101,Steel Rod,1.02
2025-01-27,715.8441707754321,113.2961489392073,348.4517504788701,816.9584594549012,83.07164458460879,0.3098747362022536,715.1535095693898,Normal,681.8080105641491,721.8080105641491,SUP001,AlphaSteel,MAT102,Steel Plate,1.02
2025-01-28,714.7707445560011,112.29141478211365,347.9385100686371,810.5665707189972,82.77954389023111,-0.1499524984981293,714.9194666782059,Normal,680.7556319176481,720.7556319176481,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-01-29,687.5802433650839,114.88092091299613,348.2052571500924,799.2921447428847,83.26671582138052,0.12227676425298206,687.0673110435338,Normal,681.6124932296775,721.6124932296775,SUP002,BetaMetals,MAT102,Steel Plate,0.98
2025-01-30,713.6063922632313,111.11057555919562,348.5190221585943,801.6505880754283,82.95304549136823,-0.2848271926412016,714.6454698035446,Normal,679.6141100619915,719.6141100619915,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-01-31,722.9001194441267,111.25904621794177,348.3562914164104,793.1379842280506,83.35124512830576,0.31884235398813576,721.8613576724306,Normal,681.8447761593463,721.8447761593463,SUP005,PrimeSteel,MAT100,Steel Coil,1.03
2025-02-01,721.758740726609,111.0266262731768,348.3244483494359,785.2757379871144,83.05169378381648,-0.15788885446518242,721.8845737652238,Normal,680.7366414821446,720.7366414821446,SUP005,PrimeSteel,MAT103,Steel Bar,1.03
2025-02-02,715.9606232168403,110.8560367951166,348.4607922179641,778.0847110066653,82.7506845375179,0.16918455123184906,715.2085314142995,Normal,681.9221796243532,721.9221796243532,SUP001,AlphaSteel,MAT101,Steel Rod,1.02
