shipment_id,po_id,supplier_id,supplier_name,material_id,material_name,vessel_name,departure_date,eta_date,actual_arrival_date,port_congestion_index,eta_delay_days,congestion_risk
SHP2413,PO1802,SUP004,DeltaIron,MAT104,Steel Sheet,MV OceanStar,2023-01-01,2023-01-20,2023-01-24,84,4,High
SHP2931,PO2877,SUP001,AlphaSteel,MAT104,Steel Sheet,MV Horizon,2023-01-02,2023-01-22,2023-01-19,52,-3,Low
SHP2743,PO1430,SUP002,BetaMetals,MAT101,Steel Rod,MV Horizon,2023-01-03,2023-01-26,2023-01-17,73,-9,Medium
SHP3003,PO2990,SUP004,DeltaIron,MAT103,Steel Bar,MV Titan,2023-01-04,2023-01-17,2023-02-02,83,16,High
SHP2461,PO1217,SUP003,CoreSteel,MAT100,Steel Coil,MV Titan,2023-01-05,2023-01-16,2023-01-31,77,15,Medium
SHP2688,PO2610,SUP001,AlphaSteel,MAT104,Steel Sheet,MV Titan,2023-01-06,2023-01-30,2023-01-24,84,-6,High
SHP3463,PO2626,SUP001,AlphaSteel,MAT100,Steel Coil,MV Horizon,2023-01-08,2023-01-22,2023-02-10,66,19,Medium
SHP3452,PO2117,SUP004,DeltaIron,MAT104,Steel Sheet,MV Horizon,2023-01-09,2023-01-21,2023-02-02,53,12,Low
SHP2719,PO2546,SUP002,BetaMetals,MAT102,Steel Plate,MV Horizon,2023-01-10,2023-01-22,2023-01-25,91,3,High
SHP2143,PO2481,SUP003,CoreSteel,MAT103,Steel Bar,MV Horizon,2023-01-11,2023-02-02,2023-01-30,49,-3,Low
SHP2948,PO2384,SUP001,AlphaSteel,MAT102,Steel Plate,MV Titan,2023-01-12,2023-01-26,2023-02-02,50,7,Low
SHP2062,PO1837,SUP001,AlphaSteel,MAT102,Steel Plate,MV Titan,2023-01-14,2023-02-06,2023-01-31,94,-6,High
SHP3491,PO1725,SUP001,AlphaSteel,MAT101,Steel Rod,MV Horizon,2023-01-15,2023-02-07,2023-02-08,41,1,Low
SHP3167,PO2106,SUP002,BetaMetals,MAT102,Steel Plate,MV OceanStar,2023-01-16,2023-01-28,2023-02-18,94,21,High
SHP2305,PO2573,SUP003,CoreSteel,MAT103,Steel Bar,MV OceanStar,2023-01-17,2023-02-07,2023-02-20,66,13,Medium
SHP2782,PO2370,SUP003,CoreSteel,MAT102,Steel Plate,MV Horizon,2023-01-18,2023-02-03,2023-02-19,78,16,Medium
SHP2041,PO1991,SUP004,DeltaIron,MAT104,Steel Sheet,MV OceanStar,2023-01-19,2023-02-07,2023-02-03,55,-4,Low
SHP2219,PO1580,SUP003,CoreSteel,MAT101,Steel Rod,MV OceanStar,2023-01-20,2023-01-30,2023-02-15,47,16,Low
SHP2692,PO2407,SUP003,CoreSteel,MAT100,Steel Coil,MV Titan,2023-01-21,2023-02-09,2023-02-23,56,14,Low
SHP2709,PO2802,SUP001,AlphaSteel,MAT101,Steel Rod,MV Horizon,2023-01-23,2023-02-07,2023-02-05,61,-2,Medium
SHP2521,PO1892,SUP005,PrimeSteel,MAT101,Steel Rod,MV Titan,2023-01-24,2023-02-08,2023-02-13,79,5,Medium
SHP3173,PO1954,SUP004,DeltaIron,MAT101,Steel Rod,MV Horizon,2023-01-26,2023-02-11,2023-02-07,84,-4,High
SHP2067,PO2418,SUP005,PrimeSteel,MAT103,Steel Bar,MV Titan,2023-01-27,2023-02-20,2023-02-27,82,7,High
SHP3202,PO1878,SUP005,PrimeSteel,MAT104,Steel Sheet,MV Horizon,2023-01-28,2023-02-20,2023-03-01,75,9,Medium
SHP2384,PO1505,SUP005,PrimeSteel,MAT100,Steel Coil,MV Titan,2023-01-29,2023-02-09,2023-02-24,45,15,Low
SHP3423,PO1157,SUP004,DeltaIron,MAT100,Steel Coil,MV Titan,2023-01-30,2023-02-22,2023-02-26,65,4,Medium
SHP2471,PO1960,SUP005,PrimeSteel,MAT101,Steel Rod,MV OceanStar,2023-01-31,2023-02-16,2023-02-17,83,1,High
SHP2972,PO1077,SUP002,BetaMetals,MAT102,Steel Plate,MV OceanStar,2023-02-02,2023-02-23,2023-02-23,82,0,High
