material_id,material_name,current_stock,daily_consumption,safety_stock,last_updated
MAT100,Steel Sheet,353,12,89,2024-01-15
MAT101,Steel Bar,67,25,132,2024-01-15
MAT102,Steel Plate,220,37,118,2024-01-15
MAT103,Steel Bar,499,38,189,2024-01-15
MAT104,Steel Rod,60,34,126,2024-01-15
MAT105,Steel Sheet,131,22,102,2024-01-15
MAT106,Steel Rod,204,32,159,2024-01-15
MAT107,Steel Rod,426,39,100,2024-01-15
MAT108,Steel Rod,236,24,190,2024-01-15
MAT109,Steel Coil,436,37,113,2024-01-15
MAT110,Steel Rod,108,5,158,2024-01-15
MAT111,Steel Coil,214,21,136,2024-01-15
MAT112,Steel Plate,346,10,97,2024-01-15
MAT113,Steel Sheet,315,9,150,2024-01-15
MAT114,Steel Plate,163,7,195,2024-01-15
MAT115,Steel Coil,332,33,138,2024-01-15
MAT116,Steel Plate,385,25,147,2024-01-15
MAT117,Steel Rod,366,22,191,2024-01-15
MAT118,Steel Coil,173,10,176,2024-01-15
MAT119,Steel Plate,104,10,123,2024-01-15
MAT120,Steel Sheet,388,9,120,2024-01-15
MAT121,Steel Bar,134,24,92,2024-01-15
MAT122,Steel Coil,63,38,113,2024-01-15
MAT123,Steel Bar,205,19,131,2024-01-15
MAT124,Steel Sheet,430,37,82,2024-01-15
MAT125,Steel Plate,353,18,155,2024-01-15
MAT126,Steel Plate,223,20,198,2024-01-15
MAT127,Steel Bar,102,25,155,2024-01-15
MAT128,Steel Sheet,353,29,118,2024-01-15
MAT129,Steel Sheet,246,37,196,2024-01-15
MAT130,Steel Bar,318,5,177,2024-01-15
MAT131,Steel Bar,171,36,158,2024-01-15
MAT132,Steel Sheet,69,26,158,2024-01-15
MAT133,Steel Plate,138,7,159,2024-01-15
MAT134,Steel Coil,340,23,124,2024-01-15
MAT135,Steel Plate,381,16,83,2024-01-15
MAT136,Steel Sheet,215,34,155,2024-01-15
MAT137,Steel Rod,405,37,182,2024-01-15
MAT138,Steel Sheet,261,39,169,2024-01-15
MAT139,Steel Coil,108,13,143,2024-01-15
MAT140,Steel Coil,187,7,156,2024-01-15
MAT141,Steel Rod,376,23,189,2024-01-15
MAT142,Steel Plate,220,27,190,2024-01-15
MAT143,Steel Rod,96,14,153,2024-01-15
MAT144,Steel Sheet,230,34,137,2024-01-15
MAT145,Steel Plate,486,31,91,2024-01-15
MAT146,Steel Plate,210,23,169,2024-01-15
MAT147,Steel Plate,291,30,168,2024-01-15
MAT148,Steel Bar,66,27,142,2024-01-15
MAT149,Steel Coil,203,14,86,2024-01-15
MAT150,Steel Bar,463,22,122,2024-01-15
MAT151,Steel Coil,355,21,128,2024-01-15
MAT152,Steel Bar,370,13,148,2024-01-15
MAT153,Steel Rod,370,11,139,2024-01-15
MAT154,Steel Bar,484,10,194,2024-01-15
MAT155,Steel Plate,132,22,114,2024-01-15
MAT156,Steel Sheet,392,36,137,2024-01-15
MAT157,Steel Coil,99,14,127,2024-01-15
MAT158,Steel Bar,288,37,172,2024-01-15
MAT159,Steel Bar,194,7,88,2024-01-15
MAT160,Steel Bar,216,18,130,2024-01-15
MAT161,Steel Coil,320,15,187,2024-01-15
MAT162,Steel Sheet,115,15,131,2024-01-15
MAT163,Steel Rod,302,24,101,2024-01-15
MAT164,Steel Coil,310,31,124,2024-01-15
MAT165,Steel Sheet,274,34,95,2024-01-15
MAT166,Steel Rod,378,37,199,2024-01-15
MAT167,Steel Coil,66,28,153,2024-01-15
MAT168,Steel Coil,173,38,119,2024-01-15
MAT169,Steel Bar,472,9,142,2024-01-15
MAT170,Steel Plate,260,26,160,2024-01-15
